35,0,0,0,5,12,987
11,0,2,0,7,6,1001
21,0,1,0,6,10,1012
20,0,1,0,5,13,1007
22,0,0,0,7,11,1008
13,0,1,0,5,11,1007
15,0,0,0,6,10,929
3,0,0,0,6,14,18
0,3,0,0,8,14,37
3,0,0,0,6,14,0
16,0,0,0,6,10,701
25,3,0,0,5,10,987
36,0,0,4,5,0,1005
21,0,0,0,7,14,1003
13,0,0,4,6,10,1005
8,0,495,16,10,6,1011
9,0,506,16,6,8,967
0,0,0,0,6,10,6
4,0,0,0,5,16,0
0,0,0,2,8,10,3
0,1,1,1,6,11,0
27,0,4,0,5,8,983
35,0,0,5,5,8,996
33,0,2,0,4,8,1012
21,0,0,2,7,14,1008
22,1,4,2,6,11,1010
23,3,191,11,9,3,992
0,0,2,0,5,10,0
0,0,3,0,5,10,0
4,0,0,0,5,15,0
0,0,0,0,7,10,6
26,0,0,0,5,12,915
15,3,0,0,4,10,986
10,0,0,4,3,12,1007
21,0,0,0,5,16,1010
22,2,0,0,6,10,1011
17,3,0,1,5,10,949
5,0,4,0,5,13,244
8,0,0,0,6,11,314
8,0,0,3,7,10,316
10,1,0,0,5,10,737
28,4,0,3,5,10,994
11,0,0,0,5,10,1013
25,0,0,0,5,10,1011
5,0,0,4,5,11,1012
16,4,0,0,7,11,1011
14,0,341,3,7,10,984
0,0,0,0,5,10,0
0,0,0,0,7,10,2
0,0,0,4,5,7,0
27,0,0,3,5,10,951
27,0,0,0,7,9,992
12,3,0,0,6,11,1009
11,0,1,3,5,10,1009
16,0,0,5,5,11,1009
20,0,0,0,6,3,1003
1,1,0,0,5,15,168
4,0,0,0,5,10,88
0,0,0,0,6,10,4
0,0,0,4,5,11,1
36,0,2,0,6,10,996
7,0,0,4,5,0,1005
21,5,0,0,7,14,1005
19,0,0,3,7,10,1008
12,1,3,0,7,10,1009
0,0,0,2,8,2,0
8,0,0,0,5,9,99
0,0,0,0,7,12,0
0,1,0,0,5,8,9
29,0,0,0,5,16,926
35,0,3,0,6,11,968
10,0,0,0,7,10,972
31,0,1,0,5,10,959
10,0,0,0,6,8,961
29,0,0,4,5,10,965
27,0,0,0,5,15,965
35,0,3,0,6,9,957
14,0,2,0,4,10,951
