1,0,0,0,7,15,3
0,0,0,3,5,9,0
0,0,0,0,9,10,71
0,0,0,1,8,696,76
643,16,0,520,315,955,239
990,678,955,963,524,979,211
972,28,745,795,111,961,18
0,0,0,0,5,10,0
0,0,0,0,6,7,4
24,0,0,0,7,11,935
808,27,0,844,248,955,983
976,526,938,955,458,965,939
999,862,984,919,61,951,29
1006,909,992,915,22,957,23
999,832,980,941,147,972,18
0,0,0,1,8,10,4
0,0,3,0,6,10,0
0,4,0,0,7,9,0
25,0,0,0,7,12,988
11,0,1,0,5,10,1004
17,0,0,0,7,6,1003
918,29,249,859,16,832,996
988,831,970,967,515,970,30
27,0,407,18,447,882,20
0,0,0,3,6,2,0
3,0,0,0,6,11,3
7,0,0,0,6,11,784
11,277,383,835,19,932,966
968,128,919,966,514,967,921
990,743,965,966,446,978,28
1006,904,992,907,237,969,26
965,26,411,15,10,5,0
3,0,0,0,6,10,0
0,0,0,0,7,2,1
0,0,0,2,5,10,0
17,4,0,0,7,13,965
730,104,352,825,351,951,976
965,94,880,973,561,989,849
991,798,970,975,549,991,31
990,831,980,989,591,996,30
948,122,370,920,560,1001,16
0,0,0,0,7,15,0
0,0,0,0,7,8,0
4,0,0,0,7,15,0
28,279,11,3,5,12,979
968,307,914,962,468,952,952
985,749,963,960,529,979,40
997,862,981,972,531,988,28
873,345,390,678,532,939,23
0,0,0,0,6,2,0
4,0,2,0,6,11,1
4,4,0,0,6,15,2
618,351,383,793,17,930,913
980,313,943,970,560,980,719
989,730,966,966,564,981,26
995,810,975,970,558,990,30
981,287,923,33,10,901,23
751,16,417,13,8,15,4
0,0,0,0,7,6,0
0,0,0,0,6,14,0
0,0,1,0,6,12,0
0,0,1,4,6,10,0
0,3,1,0,5,10,0
12,20,0,5,6,8,840
